,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPrev_disparity,FDR_disparity,FOmR_disparity,FPR_disparity,FNR_disparity,PPR_ref_group_value,PPrev_ref_group_value,FDR_ref_group_value,FOmR_ref_group_value,FPR_ref_group_value,FNR_ref_group_value,Statistical Parity,Impact Parity,FDR Parity,FPR Parity,FOmR Parity,FNR Parity,TypeI Parity,TypeII Parity,Unsupervised Fairness,Supervised Fairness
0,0.7201472908995266,African-American,race,3317,1,3317_abs,0.5515320334261838,0.3495400788436268,0.3702851885924563,0.44846796657381616,0.27985270910047344,0.6504599211563732,0.6297148114075437,2174,1522,0.6554115164305095,0.5882034632034632,805,532,990,1369,1795,1901,3696,7214,0.5143398268398268,2.5456674473067915,1.6902240031631133,0.9060846735185033,1.2131542866590084,1.9120926483147231,0.5864158719979552,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,False,False,True,False,True,False,False,False,False,False
1,0.6666666666666666,Asian,race,3317,1,3317_abs,0.9130434782608695,0.125,0.25,0.08695652173913043,0.3333333333333333,0.875,0.75,8,24,0.002411817907747965,0.25,2,3,21,6,23,9,32,7214,0.28125,0.00936768149882904,0.718384074941452,0.6117478510028653,0.4338394793926247,0.37074872305967355,0.6984815618221257,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,False,False,False,False,False,False,False,False,False,False
2,0.5227743271221532,Caucasian,race,3317,1,3317_abs,0.7654569892473119,0.288125,0.40866510538641687,0.23454301075268819,0.4772256728778468,0.711875,0.5913348946135831,854,1600,0.25746156165209527,0.3480032599837001,349,461,1139,505,1488,966,2454,7214,0.39364303178484106,1.0,1.0,1.0,1.0,1.0,1.0,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,True,True,True,True,True,True,True,True,True,True
3,0.44396551724137934,Hispanic,race,3317,1,3317_abs,0.7851851851851852,0.28859060402684567,0.45789473684210524,0.21481481481481482,0.5560344827586207,0.7114093959731543,0.5421052631578948,190,447,0.05728067530901417,0.29827315541601257,87,129,318,103,405,232,637,7214,0.3642072213500785,0.2224824355971897,0.8570987393336006,1.1204644849947216,1.0016159792688786,0.9158866602992677,1.1651395018325978,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,False,True,True,True,True,True,True,True,False,True
4,0.9,Native American,race,3317,1,3317_abs,0.625,0.16666666666666666,0.25,0.375,0.1,0.8333333333333334,0.75,12,6,0.0036177268616219473,0.6666666666666666,3,1,5,9,8,10,18,7214,0.5555555555555556,0.014051522248243558,1.9156908665105385,0.6117478510028653,0.5784526391901662,1.5988538681948423,0.20954446854663775,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,False,False,False,False,False,False,False,False,False,False
5,0.3233082706766917,Other,race,3317,1,3317_abs,0.8524590163934426,0.30201342281879195,0.45569620253164556,0.14754098360655737,0.6766917293233082,0.697986577181208,0.5443037974683544,79,298,0.023816701839011155,0.20954907161803712,36,90,208,43,244,133,377,7214,0.35278514588859416,0.09250585480093677,0.6021468638766547,1.1150846904356027,1.0482027690023148,0.6290572596176429,1.4179700879095787,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,Caucasian,False,False,True,False,True,False,False,False,False,False
6,0.608433734939759,Female,sex,3317,1,3317_abs,0.6789297658862876,0.24253731343283583,0.4873096446700508,0.3210702341137124,0.39156626506024095,0.7574626865671642,0.5126903553299492,591,804,0.17817304793488092,0.4236559139784946,288,195,609,303,897,498,1395,7214,0.35698924731182796,0.21680117388114453,0.9043484091859355,1.336424639205793,0.7347384039645066,0.9903433981817327,1.0558099194033725,Male,Male,Male,Male,Male,Male,False,True,False,True,False,True,False,False,False,False
7,0.6291318561569197,Male,sex,3317,1,3317_abs,0.6757990867579908,0.3301002263174911,0.3646368305209098,0.3242009132420091,0.37086814384308026,0.6698997736825089,0.6353631694790902,2726,3093,0.8218269520651191,0.46846537205705446,994,1021,2072,1732,3066,2753,5819,7214,0.4731053445609211,1.0,1.0,1.0,1.0,1.0,1.0,Male,Male,Male,Male,Male,Male,True,True,True,True,True,True,True,True,True,True
8,0.6262572789835892,25 - 45,age_cat,3317,1,3317_abs,0.6662162162162162,0.32311212814645307,0.38513513513513514,0.33378378378378376,0.3737427210164108,0.6768878718535469,0.6148648648648649,1924,2185,0.5800422068133856,0.46824044779751767,741,706,1479,1183,2220,1889,4109,7214,0.4597225602336335,1.0,1.0,1.0,1.0,1.0,1.0,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,True,True,True,True,True,True,True,True,True,True
9,0.42771084337349397,Greater than 45,age_cat,3317,1,3317_abs,0.8320964749536178,0.24111675126903553,0.4593908629441624,0.1679035250463822,0.572289156626506,0.7588832487309645,0.5406091370558376,394,1182,0.11878203195658728,0.25,181,285,897,213,1078,498,1576,7214,0.315989847715736,0.2047817047817048,0.5339137214137214,1.1928043458901059,0.7462324384176242,0.5030308037826835,1.5312382675176626,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,False,False,True,False,False,False,False,False,False,False
10,0.7395833333333334,Less than 25,age_cat,3317,1,3317_abs,0.45864661654135336,0.42452830188679247,0.36036036036036034,0.5413533834586466,0.2604166666666667,0.5754716981132075,0.6396396396396397,999,530,0.30117576123002715,0.6533682145192936,360,225,305,639,665,864,1529,7214,0.5650752125572269,0.5192307692307693,1.3953690194697388,0.935672514619883,1.3138730022983591,1.6218684362728684,0.6967805712936733,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,25 - 45,False,False,True,False,False,False,False,False,False,False
